5000 25000
0 4704 8.554458294983368
4704 1413 0.10964000609215649
4704 2192 8.455562648085149
4704 332 7.073059268133622
332 1319 5.629674855144863
1319 4450 5.281352660356276
332 428 8.947783803790541
1319 782 6.3861952572878575
0 1619 8.943046869452
2192 3835 2.80368354201578
428 1914 3.4583077957044797
1914 2233 2.473955599039982
332 3288 3.2193614641911315
3835 553 5.915530556463082
2233 4290 4.958015527075345
332 36 3.8995520539838413
3835 4687 3.8110583587889995
1319 4512 7.738077689724376
1619 3828 8.89463338859247
4512 2991 5.533127444618419
2192 4527 3.558872575846702
4512 2115 9.431119790845898
4704 2278 3.608938814309032
3828 325 8.790737663959682
2991 1163 4.1421752684432285
4450 3001 9.685688009975642
2233 2653 7.890620441999191
4704 48 5.504669098026324
325 3259 6.270860703380269
1163 3522 0.7184208701990061
2192 794 9.652614219971701
3828 1516 7.682821830073971
3828 4573 8.329469963260927
1413 763 2.1220192573431085
3522 2657 8.837778112662422
3835 4601 7.371245596401198
1516 1130 6.836986079019329
2115 606 6.049193641014306
4512 645 6.435123300377461
325 2400 2.0175827630812884
2991 983 4.493013116050044
2657 1012 3.621031191083728
3001 1631 0.8497159015832838
3259 460 5.459603796414034
4290 27 8.048653212425323
794 1855 3.985583882937958
4601 3879 0.34757047536731167
1130 3960 6.298505051704551
1619 2793 3.6272885901727325
3522 2134 1.418905565978163
794 2925 4.265500196364363
3960 2608 4.180915062190218
1619 753 5.4227645722929845
2991 4219 2.747007150615383
3835 2132 2.4119988569725326
2991 4584 3.7270189191618988
3001 4843 1.2415957035404162
3828 2045 0.6190064888716416
4584 1503 7.037545803706329
48 12 8.59928609806866
36 1489 5.095394929894555
2115 4380 0.7783428887238247
4527 1476 1.684085938075651
4687 4266 4.985610885057651
2045 3516 0.3987943028679848
27 4134 0.7733490569131399
36 1764 6.17659362153304
3259 3549 1.9751630111740948
2400 1304 5.985536244767186
325 1761 9.39997465883856
48 194 1.843183278575463
0 4269 2.5263835284866483
2608 2600 9.007787334874815
1914 3006 2.868241173288129
553 2347 0.7271558233599773
1764 2219 5.928160687377245
2278 2433 8.521183784452667
1516 1347 5.357695862722183
3960 3325 3.7906202761994034
2192 809 7.705195577194945
553 2199 0.4457096823024169
1516 2222 6.2659957707613
645 736 0.6879398865335055
2192 104 9.907626732296091
2991 2832 2.985089004220109
4266 1823 3.729720802296134
4687 1623 4.614798960001004
1413 1052 4.765682998582686
1163 357 4.538895083050872
4380 4935 2.273584197591521
1503 4396 3.057424105324443
2608 3139 8.464371253002724
2600 351 3.445626200436461
3828 1127 8.604822042998723
4601 3978 7.705044103117754
2134 2973 4.382832532119084
1304 3571 3.715853476989459
3006 240 1.179219321115571
1319 4669 8.190051335548683
794 2547 5.635798438287876
2600 2392 2.7065449713880274
1516 3969 4.40378342477791
782 4 6.417354448880619
1619 4020 6.584583291591914
4601 2726 9.308977097913424
553 1766 0.5545062390256285
1761 617 5.617006829030049
645 895 7.436622794181062
4935 2915 7.989525040052553
736 2701 4.824440883630671
794 3264 0.4338788174581265
460 1115 9.638593485926695
1127 4345 9.881412018238922
4450 1709 4.441589702590887
2547 1192 3.9581239532622754
753 735 7.428899006111007
4527 1107 7.172596147449427
2278 2985 9.770330961064147
2132 2896 4.098250687690802
27 703 0.4312090158964441
782 1102 3.384497696948807
3549 528 7.873149640460852
12 78 4.993689983688771
1012 3173 9.036675545147412
4219 539 9.531259320106573
528 2751 6.838959408884942
4935 1140 4.491229988989254
763 3225 7.133626937209828
1761 570 5.801165502236702
4134 1780 8.644785341729706
4584 2860 7.900602344020049
2199 1045 2.7036302647508115
3516 1030 7.971630070305841
1709 2161 7.15789577829993
325 2350 9.080803706703177
1030 57 9.644106676158238
4669 1958 1.5183964679959705
240 1845 8.75201199908102
1764 913 5.971135250597641
4290 994 8.221944333085707
2433 993 6.222071187907893
1102 100 2.6749486653860077
4601 4565 8.610170399248371
2115 1807 1.8410011382827296
1130 2358 0.9517366028106679
1163 3234 9.182327984027898
1516 1525 7.926860726466201
2657 2559 5.263209569063441
1413 2277 5.489334991718886
1127 2598 2.6395377997988363
2600 3929 2.2114184687309866
3325 4428 1.415890921530636
428 4013 4.184403728314786
351 3775 5.366045028901113
4704 4583 2.8833750071793753
4020 1811 6.630806178112076
1958 4383 3.6607003267159395
3828 436 4.643048114336607
1102 664 5.36897605597716
735 931 2.304427170150435
645 1298 3.033914169378704
3929 2430 5.603481257246802
645 863 8.833649170562188
78 3530 1.094736314231407
553 210 0.23984038815541436
2045 825 3.7227084365765624
3775 2326 1.6622923364430973
1623 876 7.995764563529721
2600 2325 8.970877486593375
3522 1923 9.01364466929238
210 7 5.433751301746855
1107 4431 9.489477145576135
4573 1054 4.1833856523985995
240 4793 4.239841173873141
2233 1948 3.7603263547304415
2350 1825 1.0442145300521177
1780 3132 2.021906924461342
2219 4886 8.30210613848308
2192 2538 0.22862820182016894
703 37 5.094932939511733
570 3957 4.890488097745696
2896 967 1.8385648250140798
2793 2880 9.348719655964787
1052 3023 8.814682311632449
3879 3444 9.72272976728618
763 4715 8.11599056031532
931 4650 2.789910622289535
1631 4888 3.7463540092336847
460 2437 1.2681457906322335
2985 1499 8.096159168904565
1030 2396 1.934944339990814
4134 586 6.394804067706606
570 3805 0.43523149514589743
2161 2267 9.484372488264352
3969 258 2.396529510764622
4431 2785 8.316892050833069
1948 956 8.005426433079277
528 2168 7.930347741752686
3288 4297 8.576272754128194
967 4473 2.228791349107764
1516 1616 7.656905076058894
3978 2474 5.523382116778623
37 2918 8.610315570867684
2192 1822 1.3771926628985796
3132 2052 0.7342950869862097
3530 3820 3.287250142248704
2233 4470 6.436058267817544
703 440 0.20455133165601586
4470 1094 2.932204478518476
1107 4899 2.0146687631553406
2600 3993 5.502083925226238
1319 1043 2.63599990375852
2199 3224 1.1271973888295406
4 4463 7.88326918839728
2134 1190 7.477559624877143
825 4438 0.9816891511751964
1107 2529 5.1187233826901934
825 2204 1.775482295275311
2392 4343 2.978848424320582
2925 4993 3.9797495009798456
2701 4740 9.719397291020249
1030 2772 7.244342885361144
2726 2804 4.097267265277734
664 1556 2.405378068807731
2277 2522 4.670919771120984
2522 1479 5.530037183630906
1845 2497 4.150623531320692
1102 4060 7.943666957259893
2991 3995 8.72036681827912
1766 3965 8.268720891391744
4013 135 2.65398525764281
3957 958 7.285308058783377
2860 1641 0.8606324916568865
135 2032 7.576839533847521
3571 174 3.5384741099029244
4573 3041 8.521618466626839
2032 2503 9.405548353891145
1347 1244 6.4011842752170995
194 3511 3.076387958399321
428 3373 0.3056961594947618
2497 2616 5.976530470403734
1923 3452 0.501319573727677
1012 2329 8.14307473223265
1556 2902 1.186095164810166
0 1245 0.5693103018162379
2772 4896 6.486468229035435
2358 3900 5.75386616792304
1845 4711 5.319713293583812
1479 2745 9.16118918964167
4428 602 6.639079483881236
174 2764 5.218740909610859
1845 1669 2.0138688817361774
735 1530 3.6830627406746794
1190 2091 4.107000929023939
1619 2302 7.319967705337276
3978 894 6.376344582475643
1489 3910 9.40912839972536
12 3702 3.371108180811635
2396 1196 1.9494369873424027
3960 2217 0.8133372980878276
2217 4758 5.366902472750614
1127 2039 9.512564077511064
428 2357 5.580851086605851
1761 2922 9.642139685646805
4888 1300 6.388500363278156
2922 2048 0.20041688756377166
2192 1016 2.5652222138965315
460 2398 2.3710332392236695
1499 2708 7.74073344322535
1530 489 1.5266565024156975
3325 1683 3.579425975898697
863 1798 7.951584855036338
240 2359 3.292267845581016
1516 443 8.439040115268384
2764 3732 0.1506851504523627
4899 1471 8.30272348068905
2325 4749 0.26236104379711606
1948 3874 8.42276851552008
3732 4634 8.680355774657277
2538 4334 1.2266991054410359
1683 4882 0.7575497758916415
332 39 6.204450882689969
2653 820 0.7148922508837006
4266 3557 2.4150444734470544
57 3544 4.078013091832385
4687 2794 5.488068889472822
36 4412 5.546599331345876
763 3392 1.9924584256830375
2522 4918 5.373378172349
4918 3645 0.7708971895761887
2991 623 6.059012296117731
3444 1687 0.650186322255145
2433 1387 7.9477670655415285
794 3314 5.921957268131447
4219 4043 8.459620605596468
100 3124 1.8019943812324826
1525 4339 7.018644868476078
1163 4234 4.785320655199877
2219 2753 3.5800928037733706
460 71 4.308071815696296
4935 2317 7.19371791373851
4013 4210 8.856383772636105
2219 4638 1.0361095036419923
4918 4852 7.528534826429065
956 3385 0.9791583719676141
4210 4027 2.547109586462381
1479 3893 2.6159317071961787
2547 3439 1.638997727609902
1130 73 3.537933511972922
1130 2273 5.835827683704139
2052 2095 0.39241863253372744
664 541 6.901448909134544
4269 2510 8.268486129986844
2708 4783 0.9086992310451761
1107 2514 8.969054947374573
4852 699 6.726847460755908
194 612 3.815597580620307
4060 3454 9.246653337619232
3820 1039 4.526047167555782
104 1424 9.824289375890887
3373 2992 0.685501130039389
3969 255 3.9165442138221485
809 1857 4.993165093425151
1102 4320 8.185918187323333
57 892 8.069746499848437
3969 2857 8.360700053410245
1761 1220 3.4476473446142157
1822 4691 4.893101680097902
958 3789 7.432553382950876
4412 4381 1.6708515509896975
1387 3912 2.42963788414437
2701 2177 9.914366152958152
2267 2259 8.753494667727978
2598 2542 5.199737730050744
541 3309 6.080163800164217
2701 1332 9.874961685337368
240 3024 0.5176991323110762
1780 146 5.020998151562552
27 2987 9.937527423320693
863 2275 4.754682163294016
3288 1237 6.4234235388204715
3544 3946 5.8261244806420285
1424 4260 8.04607815857991
3957 503 2.123819350409967
4234 3684 0.9856411927966817
2985 4675 3.8984208016916764
3288 1848 3.0600576104579407
2708 4440 1.9698221141704153
2745 2496 3.439983388291463
2217 3355 4.090376831652843
2329 2327 1.4655575384893647
3893 2176 9.18150846485815
4749 4931 5.434529963473741
1855 2994 7.451819913438418
1556 4727 6.413762936869134
3225 3509 7.804861015220996
3509 4374 5.2828090175705755
1130 4137 6.623064959496161
570 2214 5.49877284381194
2793 1557 6.457063726495924
794 2195 9.867343804381255
2219 3774 8.866561588415392
602 1933 6.551995422664172
1516 2188 3.6676862984891216
4899 1810 7.409349690727569
4565 2272 5.542168063321428
3259 3540 5.006147279306835
2608 1543 5.649697409244219
2045 1274 0.3152249068883253
240 979 7.6608646116331345
1054 2921 9.75047429836463
4438 4276 2.3315304790787494
2192 2897 7.905971632068525
325 4354 0.964984282378722
1140 4589 3.232927949989874
1332 4467 5.915407360243196
3571 4910 7.557494018374321
2896 2143 1.3621574109728165
4583 1602 0.9929805518108015
36 3767 3.490087782780351
994 2265 7.578308045352901
1683 4726 3.9063654579546654
194 2049 1.5367326848573777
2474 2527 1.568369637668794
503 3998 1.8117307313706894
1616 4656 0.5396153823001585
528 1692 8.746589123284085
4354 2404 1.744414201755218
1807 295 1.0262736772420342
3805 4067 8.771069720908574
2726 1014 3.762479396618836
4339 3739 0.3393529975568869
3645 2171 0.721366940344897
3139 803 9.165270761706202
4134 369 6.7097962148280486
1052 3337 6.622594265049205
4339 3502 1.2912504945208272
2317 2472 5.356527452311908
3385 3357 1.7465844289706096
4852 3440 8.829612913579941
2925 3721 8.757259699114513
2474 4018 6.597681949550513
2994 3353 3.408520896839033
4013 3296 8.231712903919325
994 3942 2.1874458009333213
1304 505 0.156835053891141
4440 3152 4.667510708466681
803 3341 9.782601614463202
4843 3827 6.252986153992535
4374 4226 4.657055873012907
2527 2689 8.026130869532661
351 1283 0.7568793097063112
369 4115 8.804774864090286
2214 3161 2.052059819846183
664 560 3.007291481565384
1387 1554 8.29948976045084
4691 3523 2.4732303142015106
2302 2875 7.905134965378033
1933 320 9.382116148647139
4740 398 0.22784655937464882
2134 3864 7.911862212576987
892 4208 1.9988714801493697
258 118 6.935587706748583
1798 1357 1.4613648006296862
2832 1331 5.997698031336778
4467 263 2.5602062761755624
460 3869 1.8356448421486469
4060 3659 3.7356903794299456
48 3903 4.077374545523258
3001 3883 8.659445771563773
1413 4503 2.82429095186934
1283 1417 7.02499962434631
803 3316 0.9256684485005453
1417 4224 8.236721526903448
3732 1574 3.4816038882233356
1602 3389 8.400915944757077
1012 3451 1.577552564299102
4910 4561 8.173844207523473
539 2993 9.710804439381993
2514 4905 8.756265004768357
1857 2187 4.842292840919241
4320 1443 2.664500366860643
3309 285 8.485074792006799
2358 1944 0.36381390496128574
1237 4488 0.7512456400939725
1845 43 2.0671855670551755
2896 4401 7.982070436278789
1958 933 3.5822479793894164
979 957 7.610226655521176
4711 3797 6.5300729868511525
2278 4618 7.8195507264107125
3454 2593 7.433362965677945
4020 4465 2.037826702502658
4043 117 1.9588534558951463
1811 3422 6.690708533135515
2600 728 8.309720245721403
7 3913 4.318455033301583
3571 2185 4.380943437723621
4488 2825 3.3388334031744127
2547 434 6.066711551789566
1274 2449 4.642899853573838
1944 1988 8.080760803488037
3732 4536 4.758494602540423
39 550 4.007186740142501
428 2773 3.3094984939311898
2880 3345 0.8684785469792116
3454 2717 9.62416011107217
2161 2040 5.575602279925056
3345 1609 1.225464877373008
78 478 7.24479435805956
2503 3443 3.7137169982225204
2559 648 6.098799931474662
4638 2924 7.9697022111524
1094 3933 5.197566223036209
210 347 9.693941787623446
3001 2852 1.4619394773388965
4020 1164 7.785661121008634
1192 4600 9.234949161315756
2185 2303 7.984784998186393
931 2790 6.43302199757754
4013 4453 4.5372434503482895
3422 1328 3.097295203789643
3571 3770 9.70460548554165
3957 3463 7.850261611412757
2143 543 9.079717707231287
1220 563 6.592279119736822
71 3862 5.275037506701167
434 1740 0.6745790115707094
1127 1994 9.28543981396333
2527 4058 8.15411045937698
4473 2276 4.773770343772194
1014 4197 9.757822485938226
3557 2458 9.840035150711516
