200 400
0 67 9.296243580721551
0 110 7.158194830909306
67 31 9.951978630942858
110 112 4.43719083075359
112 14 4.5697127997721845
67 43 2.324503636612418
110 96 0.30823917406988294
31 3 5.925557132662475
0 46 0.8028315514894221
0 65 2.3665236597304284
0 159 8.61039046251209
67 191 5.190145586105032
112 136 6.722880005133177
31 143 5.438415920808071
159 187 9.361590981748643
187 45 2.505672699717673
187 121 8.09422027788977
43 176 1.033825385269634
136 4 3.607545909236583
136 158 4.723544213563082
67 16 6.766309018203685
158 145 1.074336924404393
191 171 7.309314525567708
31 162 2.561697705810828
43 127 5.409228963712409
112 116 4.276628234360602
3 48 4.680017877169576
48 6 9.240329432832526
143 113 8.099420222843856
48 37 5.548220593253496
67 62 6.556234450585368
0 13 9.693062947119037
187 70 1.7464799949787488
62 195 4.865448337913291
127 153 9.034184368554431
65 38 3.85183387787147
162 80 2.7255102759043046
113 33 2.923967366574511
153 161 6.6525259883123775
62 128 1.632488570213235
176 193 2.2552388943003323
31 11 5.833884879080936
195 129 0.7034799576175066
158 85 0.6659362017840824
80 106 4.820206319378455
70 169 1.6585840066008846
13 105 0.8931035058818101
159 81 0.7783611937675442
112 148 6.784604280680492
187 53 4.097377958050947
38 102 2.5375319431073864
33 74 0.49344245666173747
14 44 4.250326661825137
80 1 5.695746546056485
158 192 9.35359195159063
136 17 6.730287150221309
158 79 2.4629909308968756
127 101 1.395694993061819
193 194 3.0699710900077464
158 61 9.297281483884591
194 156 0.8181768334822574
113 103 6.249476629381618
38 39 9.961354833765435
46 77 5.422580600606111
77 114 2.7254841060289734
85 20 8.820555319495751
62 15 3.7583181785149513
158 177 4.438027272776328
33 141 6.155609880686906
15 165 0.17744876080636368
165 66 3.0638496467797816
136 160 9.395407038878329
121 107 2.718212622722564
136 47 7.449925171411887
4 135 2.7962473019166816
116 124 7.204360652674099
116 55 6.906221575133172
70 139 5.103549675170073
13 125 9.0628312616853
43 133 1.0137548303560608
1 172 8.31054608478497
14 170 0.1351023219690448
45 146 6.407422435283658
70 34 1.699661565111473
17 19 5.5616361691512735
1 173 5.652977961269989
143 122 0.8449142147302937
4 175 5.501343863134671
105 64 5.86684470824896
176 84 4.35488845751964
14 179 3.151757664308324
14 104 8.999353901612098
116 178 6.852460214274707
19 73 1.1176568545506778
66 28 8.852933544364989
74 184 9.74098652410916
28 111 1.630078049488826
37 52 8.659596392577644
145 166 8.826020426166911
31 5 1.8756705678402494
11 30 7.845626311861554
74 183 8.042127875477675
73 100 8.12641823408645
195 99 1.6760586455092394
64 131 1.1701467013892755
112 123 8.600073188244037
6 198 2.0757710172549437
101 134 3.561618402014595
131 154 7.973920441613331
113 119 2.306943117337509
34 126 2.011984904444316
11 49 2.858170304127739
3 137 9.672202130078775
153 150 3.5763466779192474
114 149 4.0568160051646025
198 132 5.408535751539347
31 69 1.2418833433291332
70 22 1.8678213801073902
70 82 0.47874625379730096
124 78 4.402181209789979
178 10 7.885638964216451
192 83 6.101467647730818
114 199 1.2448932618903716
149 120 5.808221630616336
13 90 0.5394266837609878
192 35 0.11674365436443172
22 86 8.084457610031029
53 54 3.705792570634516
121 91 9.49385741111601
34 95 6.269238558469451
62 42 7.225567203838106
124 94 5.1205127899491645
99 117 3.329210758088259
135 163 5.5886835289012575
148 157 4.262418704351792
111 26 6.805447658200056
85 180 6.1935976679186675
55 147 4.120144170705812
0 75 3.1083619977567025
44 59 4.355892684899362
170 186 4.70338308344544
137 18 6.788709608581988
95 50 4.784543240502329
129 93 6.622622375484376
160 76 5.202974898160643
19 142 1.0245332807480705
61 21 6.760677138515954
79 97 8.084972656305032
80 32 0.34181133849558076
103 138 9.840966625540329
176 118 4.6086200669628825
21 12 2.024908843723122
52 68 4.994333973203325
103 89 1.5609563164038525
67 92 8.937332279492528
48 25 7.806362026996518
17 98 1.8412781488946635
94 182 4.699043857285096
18 196 2.5670629686337194
62 87 4.618972072154708
22 181 6.709019552604896
50 40 5.994977952847255
137 168 6.165257995341452
91 88 4.324733492900689
59 185 4.514544759559334
128 41 7.462188877379891
10 2 4.55569059674439
39 72 8.414642589635015
165 151 7.681555474541938
117 115 4.897510468995641
156 57 2.818514724483629
4 108 7.164094139849459
61 188 2.7899795601136277
172 167 8.940965644624136
158 51 1.4699032090099418
194 144 3.892049395070248
161 197 7.093549502776067
45 155 4.20719216939236
34 130 5.471850290988762
123 60 0.7164305347774946
198 56 3.9558204454027184
32 24 9.466014132541995
14 8 8.581647119808949
21 9 3.8657721863843455
67 109 9.43314240859756
124 152 7.55940373808792
198 23 5.428383619341292
75 140 8.018694892318551
17 174 4.933471827747479
141 27 4.414776162861702
96 189 3.949686312136668
57 36 6.823504661780662
100 58 7.269395638510159
82 63 9.203462044622862
196 71 5.387823932371793
5 190 5.959738478716318
151 7 0.3683102587690932
88 29 4.343266419644839
22 164 1.8991173624829785
66 97 3.3407914027231693
116 83 3.4412554259313195
97 71 7.54489725319237
107 64 8.36561805763
120 4 7.5153401847202215
13 89 2.3197994406255074
17 199 9.577127467486047
10 193 0.40719698891905
63 51 8.408365578217522
159 39 2.4615949247001683
121 171 1.2324555164821351
55 119 7.024703215336893
196 94 1.7611125193412425
155 191 7.211736563100482
199 41 9.650735653037469
27 148 0.35421641242491364
79 147 6.805738139819047
96 101 9.420558925558966
50 19 5.961768826373537
160 62 1.1088229239151677
197 77 8.517903066979082
153 30 7.9826494443420986
144 10 3.537317276553645
109 169 3.768651674558756
129 165 3.4781886311267036
107 125 1.1448348193755862
92 162 8.926592646570521
117 181 1.6146123760292133
45 187 5.265292794690951
166 69 6.197532305130156
137 198 4.886625288443642
111 187 5.965498728730647
82 62 8.324237087016973
22 71 8.828148721627443
62 192 4.700613819371994
156 171 3.851994110869814
7 126 8.524433079493345
46 124 2.199986516779416
66 87 2.868619031572101
152 179 8.813062718026778
142 2 5.214609791977848
48 21 2.4894248986895313
104 125 5.5962444946604215
61 176 4.813321796763231
182 125 4.536928040907051
4 23 3.012932255072924
103 177 2.508721122379896
169 148 3.753302461544266
141 135 3.5031982020474053
190 140 3.374833842239709
179 116 2.782072627064344
64 59 1.2944932590478277
49 80 1.2835919384250232
137 195 6.932619185991461
49 55 7.4121860697386115
70 185 5.936910369011829
194 134 6.008228331071787
25 49 3.0328399863249307
92 45 3.0924491289263125
181 136 1.3531713024950183
11 13 5.578253771306222
178 32 6.414909585548682
192 125 1.1156177031988308
3 146 2.9149593386577792
122 112 3.4729887323468946
13 64 9.416529608004222
122 29 8.23894488846436
102 125 0.8334134855308339
161 175 0.6307298354960781
38 144 9.49634385934451
21 63 1.2726704658934698
195 106 6.102544747305331
158 57 7.7793660430123515
97 115 9.094193338475659
76 150 9.901309478621299
78 145 6.24817047861427
156 189 1.0824123902704035
195 53 6.292598801025371
67 169 0.9037559081231445
61 44 5.564723231219815
40 0 4.1443239693342635
176 152 4.7521335421760895
8 59 2.952238406977524
72 179 8.610106640271173
18 175 2.410895680984253
67 160 5.938916933132052
50 108 1.236285394364353
57 165 1.5749950706457594
68 36 0.8069573848725601
42 78 5.9909359694621065
145 73 4.44761914187
119 176 3.110502786393191
103 69 5.054674553467463
126 112 0.8963743338030796
10 110 7.371885840527591
154 64 0.3560624346445209
58 172 8.375990277671194
147 150 9.512784150282888
195 172 8.232070328057997
147 10 7.654779141299884
44 120 5.237742025777279
113 71 1.8967425575089467
149 111 6.38436872259546
125 23 4.753102910107481
104 85 3.2784767339700585
26 41 3.365056269431758
177 126 2.953356174078412
102 194 5.54595642882065
116 22 3.2137198559846625
82 29 9.704828795404914
103 131 8.26677931236014
0 168 8.706738094774458
118 105 0.6366204452296131
132 92 6.264075338756942
127 160 4.476205461650388
13 52 2.7438567589020315
33 73 4.437349341216544
178 124 1.3021182252899366
161 155 8.01320595941726
181 40 3.176426370094018
3 141 4.139107804170035
57 29 4.6683341523699555
30 165 8.338217420312121
127 183 2.9894294465916817
180 69 4.213354395059995
123 120 2.51293597014387
141 37 3.8975015311467844
153 130 7.488296200374736
34 17 2.834849287938206
106 87 9.34905909745695
129 68 8.223439784537225
72 185 3.0557029127404953
150 148 9.989133098970454
125 38 4.520819191127625
123 88 3.391155561536419
195 139 3.8343795367174716
82 48 9.809668850192685
61 146 3.891411404403062
198 105 0.532108261063289
190 121 7.081756022147525
97 98 9.885298619199688
166 38 5.003753631202593
9 32 5.072682386316362
151 84 8.710033102285932
112 25 5.306915759394858
116 3 7.252193892949362
104 167 9.702572261006951
19 120 7.837100383602945
67 86 6.27026806516778
101 166 0.8951216737365453
84 172 8.60748762326584
97 81 6.305311872179079
194 124 8.736591872245508
9 158 0.7773653970973593
73 58 7.492987030705477
111 25 7.627659960643228
180 25 4.492417661450887
177 76 9.04389821429981
11 83 7.981820305105897
75 91 3.810926788775617
37 62 5.358546549672724
144 174 7.945942791421437
43 44 0.8817866715339469
97 158 6.863032341630867
127 149 1.5168654292722457
118 163 2.6143756601940686
65 170 0.19303457140322333
119 73 6.808347768420886
40 18 4.473124857677763
88 150 3.061627066325345
108 176 2.5759724216362425
77 50 9.993798298451773
123 27 2.448336449082989
146 91 5.790638108768586
179 75 0.31720201880969356
168 101 2.817355763764455
144 175 7.805284996123771
12 155 7.477204325926304
73 198 8.008715183125227
155 90 2.268144935388244
48 158 2.581205320431799
193 184 7.697960667505094
174 35 6.319656226500293
160 165 0.49028348221209217
112 8 5.837780673147187
187 33 0.9923204198875675
75 83 7.500060562889878
44 51 1.4083819976931573
138 93 5.355438499657572
69 42 2.6440038371762973
123 75 7.490937572098746
86 29 4.736480749641683
19 36 7.566099781307221
57 173 7.26974544954763
101 142 3.7211729891151073
101 3 2.718139925688996
31 116 3.748998020298786
191 172 2.695397941672391
97 163 9.408889728617586
27 172 2.4148368318946734
6 158 8.853924967627037
