trial,graph_size,num_edges,algorithm,runtime_ms,reachable,num_inf,num_diff_vs_dijkstra,avg_error_vs_dijkstra,k_param,t_param,sssp_time_ms,dijkstra_fill_time_ms,sssp_reachable,dijkstra_filled
1,50,250,dijkstra,0.09250640869140625,50,0,0,0.0,,,,,,
1,50,250,sssp,2.718687057495117,50,0,0,0.0,1,3,,,,
1,50,250,hybrid,2.718687057495117,50,0,0,0.0,1,3,2.718687057495117,0.0,50,0
1,100,500,dijkstra,0.19812583923339844,100,0,0,0.0,,,,,,
1,100,500,sssp,11.166810989379883,91,9,30,1.7686535089861437,1,3,,,,
1,100,500,hybrid,11.166810989379883,100,0,21,2.5266478699802053,1,3,11.166810989379883,0.0,91,9
1,500,2500,dijkstra,1.2497901916503906,500,0,0,0.0,,,,,,
1,500,2500,sssp,30.925273895263672,323,177,300,1.5327490519754512,2,4,,,,
1,500,2500,hybrid,30.925273895263672,500,0,123,3.7384123218913445,2,4,30.925273895263672,0.0,323,177
1,1000,5000,dijkstra,2.1784305572509766,1000,0,0,0.0,,,,,,
1,1000,5000,sssp,209.20705795288086,594,406,682,1.797014350137088,2,4,,,,
1,1000,5000,hybrid,209.20705795288086,1000,0,276,4.440448502874978,2,4,209.20705795288086,0.0,594,406
1,5000,25000,dijkstra,17.52305030822754,5000,0,0,0.0,,,,,,
1,5000,25000,sssp,30000,0,5000,5000,0.0,,,,,,
1,5000,25000,hybrid,17.52305030822754,5000,0,0,0.0,,,0.0,17.52305030822754,0,5000
1,10000,50000,dijkstra,55.47213554382324,10000,0,0,0.0,,,,,,
1,10000,50000,sssp,30000,0,10000,10000,0.0,,,,,,
1,10000,50000,hybrid,55.47213554382324,10000,0,0,0.0,,,0.0,55.47213554382324,0,10000
