100 240
0 32 6.0344470975558675
0 39 2.3796010111232846
0 26 1.4191195690839482
1 22 5.35504477824759
1 28 7.034833168480011
1 32 0.9893793597067204
2 39 4.2742289844902865
2 35 6.170839011857144
2 26 2.245253888866891
3 31 1.6075376895717124
3 32 6.639622169525247
3 26 8.514675214234432
4 30 6.806037451083125
4 22 0.9692419770619756
4 36 3.232149580016472
5 21 0.1754359596188315
5 28 2.1172676741261873
5 37 9.896742692873165
6 37 5.234684292319404
6 22 2.060990970541092
6 34 4.680734516452608
7 21 2.2366507420615234
7 31 9.215565857886746
7 24 1.692038392278047
8 34 6.636966561098598
8 25 0.4669154724996155
8 36 0.33070806857014823
9 35 9.373156485793443
9 33 6.356945529219411
9 22 1.5148244013420378
10 39 3.364007076208141
10 20 5.281680621301903
10 32 2.0878646881111296
11 21 2.65000808239104
11 26 4.1002698739530485
11 34 7.661569804332211
12 31 1.396176729438345
12 35 8.652901539294417
12 21 6.03671351456289
13 24 1.0551841391271068
13 33 1.5222578609745259
13 23 1.8239372321374985
14 25 9.248925520144665
14 33 8.816263807964033
14 24 3.2591540070519955
15 35 1.260411377943116
15 27 8.241249786174713
15 28 1.9409241893545843
16 22 0.21037009431686995
16 36 8.342280154466692
16 29 3.4406059961139364
17 32 8.24143444256844
17 39 4.054160227781577
17 30 4.199245585169771
18 31 1.8941319347003602
18 37 0.47216582252128403
18 22 3.7926564942630683
19 32 3.1830457557027194
19 34 6.577907292826874
19 27 6.568300139365128
20 49 2.264179198172192
20 43 8.111811574878594
20 50 6.775537893511338
21 47 4.43744116380745
21 52 9.595009538481072
21 49 8.836971760052268
22 53 5.081191524125598
22 48 9.081335972842552
22 42 8.758471211596563
23 55 9.305324440229924
23 57 2.642673969016426
23 44 8.827630835620576
24 53 3.8516910531714563
24 45 6.81566727297259
24 49 8.640796977834368
25 59 3.8602628382651956
25 54 8.88606040520075
25 46 3.519287602921441
26 51 8.924156685796477
26 49 6.711386582251059
26 46 7.915976046298722
27 48 4.1416338713392875
27 53 8.631348695015982
27 47 6.5999076288865215
28 40 5.364309535210797
28 43 0.11279538921111333
28 56 3.174294418871661
29 45 9.33760681325522
29 56 2.712674712471005
29 54 8.529376776630894
30 53 5.357207439073691
30 54 6.236057393266465
30 57 6.353782501982594
31 59 7.418419777632622
31 49 9.995432816006243
31 46 8.083129161926067
32 42 9.615265344659175
32 58 4.226052194589618
32 41 3.7553420566843827
33 57 2.0206384680492264
33 58 1.0911038437413185
33 49 8.650714759952065
34 52 2.7215388153652893
34 59 3.357662397413251
34 45 8.790940605056061
35 54 5.6626409839680925
35 52 7.178933245468565
35 53 3.66240781304732
36 46 5.769370270215161
36 48 8.908660956677352
36 54 3.888277159022387
37 55 6.6836200861474
37 58 9.806311436295353
37 59 5.3634692555053
38 54 1.2371867348588186
38 56 7.983017474352018
38 40 0.8142275595958083
39 40 2.8259917182603824
39 58 0.21886010372004697
39 57 3.258945532873234
40 68 5.922614868044427
40 65 0.5701356204815357
40 64 0.4578023275195644
41 70 5.597131024894399
41 76 2.99234053618696
41 67 8.394554941705632
42 61 8.073007850840156
42 73 1.2599566154044084
42 67 1.8011853814179761
43 68 5.641039556236485
43 71 2.0625752901906638
43 62 5.63410407318947
44 71 7.459897707484323
44 77 1.2242919100448812
44 62 1.3444295143203455
45 64 0.9564343499208541
45 79 7.61591797825737
45 77 6.501460779864542
46 65 6.188341701193325
46 71 7.629484088640024
46 67 6.149761477820403
47 70 8.113338268459696
47 61 4.417752460845583
47 79 3.143906999213966
48 63 6.464717939270604
48 64 5.260289364560323
48 75 9.304982641519018
49 67 7.8493630213221435
49 72 9.89981566168372
49 63 5.710806862220949
50 79 8.766785786404887
50 62 8.401911671072842
50 65 7.763046397975668
51 71 5.934036139037056
51 68 5.885005625528192
51 70 0.3017643606388015
52 65 8.821464289187473
52 64 8.11586250368079
52 60 3.027745852410889
53 63 8.036030620454083
53 75 0.4989176236245493
53 73 1.7231500014971886
54 70 8.074336919244821
54 79 9.690551389323259
54 78 3.8288901407830642
55 68 1.5923975018184673
55 67 6.776393393304646
55 77 7.660639514361716
56 69 5.171495363746324
56 72 9.022293229922349
56 73 2.35551081913807
57 76 2.2004126242807174
57 73 6.513279529452972
57 61 1.7219707321463829
58 78 0.1427573770214611
58 63 9.441687641175674
58 73 8.392782896013241
59 64 0.7065891384564188
59 65 8.81357269823945
59 69 1.9140376518634434
60 93 9.333411186720092
60 84 0.45244401156517056
60 80 4.018672276107572
61 94 5.923456353767457
61 82 3.4790504090725882
61 85 1.4076736504875171
62 99 5.069427043816443
62 82 2.402946544907853
62 91 5.771530400946265
63 86 6.152715820048699
63 83 9.071664767163933
63 93 1.8184242906620858
64 95 8.4249213747409
64 87 2.6396341216686707
64 85 6.54958303948251
65 96 2.4239260567799104
65 97 5.2924529227992405
65 82 6.9022660127238
66 93 5.657885120940019
66 92 2.492056352495581
66 96 3.307954191375336
67 98 1.9719785277595867
67 90 7.9552720100864445
67 95 0.3930417108440385
68 81 3.220391658524214
68 93 9.25956335734373
68 99 6.6641041077617444
69 85 0.2003503599376682
69 88 5.350113032190429
69 98 2.0427761315132846
70 91 3.5112332526852064
70 83 1.508695723088695
70 85 3.1200909335574236
71 88 0.6519758659685624
