300 900
0 28 5.949041793927816
28 129 8.084369622118743
0 224 6.154576038438481
224 5 6.606956098086597
129 54 1.6435330147425413
5 162 1.396740134893559
0 41 8.013634415803944
28 109 5.313152366280649
129 8 4.394713423899107
224 164 8.278936992970689
224 262 0.3771378837016569
224 58 3.0003698614351677
224 183 7.660429865909576
54 160 2.667711473175081
162 259 8.358530464750746
28 213 9.10916885752401
262 174 8.98726961192335
213 37 4.264219880019745
213 55 1.394556264319026
5 258 5.282715197312947
0 83 8.740775426903639
54 159 6.124690925619986
5 176 1.806232450913144
259 85 6.229102267916599
224 35 5.609108686531911
164 136 6.855080510911734
213 104 5.598874561314444
35 257 7.787251995134973
257 42 5.646931722481127
41 105 1.9939306984952019
28 86 7.745384877679334
257 186 5.661120927899114
5 138 4.488159096416644
186 274 6.100763050246227
58 59 6.958036925227469
257 144 5.130745930072112
105 189 5.126743406957844
259 130 7.022257033584829
213 185 9.235563712859053
58 248 8.415997855592737
109 66 4.2247068591718175
35 256 4.476969073922931
5 197 6.744438925998834
104 75 0.8238955930294759
256 134 3.097522744990636
41 177 8.980561685499792
8 199 9.40109611965408
66 231 6.636539500394571
8 207 2.605767590850927
109 51 9.6786933483972
160 145 7.492152712716094
162 71 4.0427430597009915
86 23 1.7116721935549921
256 277 8.341202227881181
164 116 7.092603168428434
186 113 4.097716536054386
136 264 2.0378721947259186
258 96 1.012720858672956
176 48 0.29288098771869225
59 294 4.640840607587509
134 265 0.2790116101876723
83 267 5.222595180398807
37 52 5.17139661618821
109 201 1.2172145854854888
42 76 9.719789990606033
183 169 0.9322065430066452
274 65 0.4919230801492698
176 29 2.7774163654609603
213 154 8.215794956537458
138 155 4.118883496364523
29 195 9.199797934266536
52 84 7.034132720811517
262 87 2.8627167833560137
176 12 4.310638703877654
8 270 2.76234189487742
129 214 6.380951112335939
138 289 0.9290510097217287
257 216 0.7595630952571685
259 211 4.592357857631956
197 100 9.943628315443803
23 217 9.274025912305149
274 281 6.254864197815399
54 3 5.316458762619
105 67 9.387446574744354
258 123 2.692763389637762
176 251 2.097505662808151
185 192 6.3238438607719045
65 121 7.6190327244857565
189 118 4.512300043187119
251 232 1.861208853707994
75 222 8.0564215539382
186 40 0.4657985802883393
129 94 7.357495795979905
155 62 9.78271110337689
76 151 4.800130321325564
264 244 1.1521853157682052
3 202 4.378558099265719
52 245 5.504471894075556
51 268 9.706092739970913
185 112 6.908643183337845
42 298 3.492775791632998
232 287 7.315557288349954
174 139 4.106507316197729
75 140 9.820631125110733
213 168 0.24112578034516988
100 293 7.434803062010983
186 163 4.36433300760493
41 208 0.936400239808514
163 10 3.8707296752804847
201 254 6.7383786492959175
144 79 6.027906294151454
121 193 3.001279076545321
96 13 1.9349850830404165
274 272 4.513663621514028
138 220 3.7049993866807713
256 146 9.728967679669125
155 1 3.3029855550827105
5 142 9.660101023581973
185 7 2.256871985868966
176 241 0.11058225795473556
231 182 0.9305165521723913
59 15 5.077363663126356
35 170 2.556976008391997
268 57 0.1490102618890388
138 131 8.188738383267511
37 9 4.055160585860365
54 296 4.000388541986734
214 212 3.112021146220951
48 133 0.93637884331699
185 283 6.60968236579546
268 27 7.666682324027523
9 240 1.5796851755183048
189 167 0.5335018602467
27 173 6.3105880308860725
133 236 1.479145339190123
173 206 7.553384869495581
5 14 8.281450302869604
96 230 0.9424078584349836
164 261 1.4176226594111827
40 82 9.599209108491786
244 95 8.374629878019713
58 137 6.314894374359568
206 286 6.838575343200123
131 295 2.7115496585727614
146 2 7.99720576550144
212 190 8.98879004790245
176 68 6.627064944113064
213 247 7.482706305341455
182 125 2.596715961480632
55 4 8.476722926862735
294 152 7.320416876590027
71 181 2.384287657769792
1 233 4.990092910608346
202 46 0.8597247484490311
87 22 7.693004047593474
51 238 0.8669710132262268
189 60 3.3845521086008006
289 98 6.249392436600035
274 92 0.2234452119169005
259 107 4.909400675154107
35 165 6.952633208447435
131 227 2.9794791364507534
240 111 2.9268810667109655
7 284 4.716757627539192
105 72 9.933674032593242
82 141 2.07257529560908
83 103 9.368917975441793
5 263 2.966929906933092
55 228 8.216987157728695
220 243 9.940272918043336
268 209 2.1773884778759793
23 101 0.838667390172008
176 102 1.5032327108093586
173 249 2.691908790410528
40 34 1.4127902215221584
165 234 5.136569101122931
257 56 7.063036684061336
48 198 5.029090738201784
57 239 4.001397146626267
248 291 0.13554566953032954
131 157 6.847722354997149
139 44 3.0893153086238305
144 91 4.220193824210803
244 119 3.2291726492122006
67 6 0.1172396809832825
251 89 8.407196867039573
105 221 9.404822159345066
51 99 7.158933301389545
12 184 2.6068009412661026
213 73 3.989703882206935
4 235 0.8563668554352385
10 175 7.580998294979609
58 242 2.878313275478241
183 299 8.363292350274204
87 80 6.3861386206920425
130 180 2.5683146924770037
29 292 4.4187833648810795
100 16 1.9795055669137682
151 17 7.872912479684025
10 171 8.854238899701922
299 246 6.345868458303901
95 122 5.537358667060841
119 70 0.8977112806574454
221 273 4.167771552231297
60 18 7.551413291483134
284 252 8.707840577762294
57 205 0.5848713593770696
82 271 1.3603820718120907
241 128 4.207179846631453
84 153 3.04794146889339
184 90 7.413578266392142
103 178 2.6756736406793573
103 226 2.462783739553982
170 81 5.6174848543247
112 210 1.28545096186244
284 297 1.7004039179100758
23 147 5.055987448014341
205 143 5.021050274735888
113 196 4.5845621501801
123 288 9.96510362488444
220 172 4.331487934902317
82 11 2.0048302480313756
176 229 1.8294814108711241
137 126 1.0018339638482672
265 39 3.7462228153477595
205 253 5.739215648928315
54 194 7.521610315286319
168 43 3.8900950096357416
73 108 5.28926461323387
244 132 2.775374489636798
175 290 0.7143892275664534
195 19 5.785379607082039
40 156 1.3461506374095111
212 269 5.339334398756223
122 278 8.642327355604317
116 187 1.0167217558853825
108 88 2.559691132658358
287 225 6.493337956175194
254 127 9.544041395105113
147 135 8.161955765944873
54 250 1.359745506340344
208 148 7.1241666708926745
108 21 8.062067751477331
4 63 4.9492611847949695
37 200 3.9760588475269167
88 179 9.288791037152208
236 282 8.569080470760904
272 276 2.5598063025829276
104 279 2.3156241031612903
130 77 5.271419510406899
249 266 1.1780150966402623
90 117 7.245179360657458
72 237 8.480434309479037
108 150 4.627517915081482
95 120 7.790929996158987
0 161 7.844756318211201
7 219 5.736884640955992
55 255 6.490507186045602
22 106 9.628105473271546
212 280 5.329706113780154
229 33 7.015960981414139
264 50 1.084503369007139
233 191 5.291923152216155
245 97 3.9420112794841122
272 53 7.925823250789216
0 93 0.20357023493212112
46 158 9.96410311207799
137 61 9.59350572177719
57 74 4.805511778668682
241 285 5.515322130515262
160 149 9.610080875284376
60 69 0.6475562752462553
268 24 5.033271422684195
210 114 0.902811482897666
146 26 6.706814983493028
184 204 2.3451821251223994
174 32 6.988645574798513
210 115 3.686966928522364
122 64 2.060988418510998
125 31 7.417379295579956
255 218 0.7675813267503975
237 47 9.701601351679091
92 124 7.681985355303023
268 36 2.3850072473632493
13 215 2.7237173611570915
152 223 1.179179853380293
237 45 6.139973280984168
272 20 4.90202210343322
257 110 9.492736906472901
12 260 9.227043080294532
104 30 2.208195842310222
84 188 4.212310844013253
105 49 1.9226377725145576
132 275 8.991857327886997
107 38 7.353965282594673
248 25 9.32279543086718
263 203 1.987766874854048
61 78 7.488453575442707
213 166 3.187088715865132
193 191 9.851330516366698
226 86 1.1786805706353498
40 143 0.8995534038508073
215 63 5.655176249491311
106 194 3.630629286992904
158 221 0.9688265993270837
242 100 3.7898724553073753
228 98 3.300760939762471
242 15 6.353455047063068
126 207 0.5024298907676327
17 237 0.7195414383191381
31 131 2.029920372353042
32 173 3.6934454522722593
171 22 2.6955074883232637
162 141 3.0443181748489954
33 12 8.277581444496482
54 243 7.1841547524340355
238 197 7.919008690754796
220 252 1.4138020216538323
254 93 0.18618130568732572
155 77 6.111816889329335
167 163 4.661733849960553
40 262 2.0533867379850554
81 126 4.136792009628242
17 246 5.570686969844285
166 82 9.804532131723219
53 36 2.722424030181435
43 106 1.0545835276581095
255 228 1.8145994344245142
68 213 4.66314528093521
120 275 8.485172036747262
62 150 3.008443253979306
290 137 3.7924132705864264
133 101 4.450037839632841
95 125 2.4314896987221366
144 296 1.96367632993121
33 202 2.5913720825705107
125 259 5.310456594010229
51 237 9.910460945714481
52 2 4.800151316374299
118 229 9.15231798292231
20 150 2.4056375129539114
25 97 6.044883785637879
298 99 9.308720103231476
190 262 8.674660551248595
229 133 7.772482266276963
3 54 6.410827203108787
179 111 0.47079965882163244
174 72 0.5372486391616358
130 19 6.034291355677408
104 5 8.20644776627248
209 190 1.9329364862146716
159 39 2.1137369439864093
253 280 4.886719598817703
208 51 7.978854336689691
281 79 6.427901262689917
46 83 4.037944097701597
138 209 9.883563517068936
157 213 9.536569485876491
159 290 8.848579261720918
212 213 0.2803104985955287
186 100 3.9682380542718905
207 104 9.425675361291901
222 80 4.295172566354564
46 207 5.820177045018193
186 235 7.753239443221624
66 7 0.6117844906473441
72 203 0.981408008719672
189 258 1.7996880288740962
178 145 1.7019657608827417
87 34 1.1770491585059017
251 101 3.0859913837450628
22 247 3.2138071002692583
198 44 9.051786386608121
82 113 6.2484255686729915
100 242 1.9113588817248495
111 21 4.0574812724563145
265 80 3.897406097174852
63 76 2.545883090122444
98 21 8.850238893681752
19 165 1.2655370515538857
233 281 8.505195339826642
156 215 3.151295052975298
127 217 3.9531993390809204
188 228 5.085426139382203
91 11 0.1347301462816407
250 238 2.428984141524931
234 91 8.124240612125892
204 54 0.7644945075490563
183 220 3.7167899042961
226 258 5.150596357921125
66 42 9.229047332416878
160 261 0.8916827413232825
258 193 6.562181997400469
69 13 8.584994101205234
56 99 1.4030130410127937
251 147 9.570728955632818
84 113 0.7486104775000899
179 129 1.6717977479547714
140 233 1.5213657216444445
257 245 2.1624010813213053
134 259 2.4502518635903847
190 18 2.0695272706654233
206 82 6.402060615795829
142 167 8.964589724918635
86 135 1.2392791383402846
271 24 6.399554883666789
184 231 5.5962832015930095
296 53 2.5951127851773093
274 201 7.405438902206264
190 135 3.8198238514805785
188 295 1.5473348972684793
169 41 4.478588116001101
90 24 3.0341956788022855
264 129 3.169717172745277
299 160 7.357083878798265
17 113 1.5787110915826181
221 213 5.1755120531065755
24 67 4.935105555131066
23 11 0.6384910041532909
290 181 3.107013933010326
267 182 5.387719796748189
211 298 3.0814343313277277
68 104 3.7257218537993917
243 81 1.434012104121662
124 76 4.563445715967314
32 74 8.725727439583673
138 205 8.134548218667316
5 28 6.484978899558773
287 179 5.987770224299136
296 227 6.058626516743417
265 252 2.5601204777842885
0 22 0.7091323015251849
12 207 1.9380130414137327
81 29 9.126245432427787
53 6 6.165131918744274
100 72 4.1904648391547115
265 259 6.511207396921088
212 89 5.13490255298381
32 153 6.297041767687041
244 275 0.16285908456199916
223 238 0.8967376898480494
231 89 2.336889315146534
53 133 2.399737208156255
19 63 3.4216089652747796
134 26 2.733278293870931
283 223 6.888763671410493
267 135 3.026608192591604
111 43 8.812447496678999
7 86 2.677649654124341
120 103 9.452509163885894
167 98 8.813631495447465
168 122 3.8565444535384104
274 240 4.774191144206684
271 3 8.589475284982592
223 119 5.746370713108115
157 108 3.9764742453691246
299 39 5.695525292432444
87 74 0.4258447443420824
57 54 6.257494712595593
82 176 9.776339941503343
14 15 0.5123294507725654
21 34 7.394174105392558
33 186 2.0731907188434895
273 33 8.809174611353452
196 54 2.5411162453641127
104 57 0.4352201785208688
44 147 4.823441878622645
67 50 7.940476203694213
104 150 3.2594749080501977
216 133 0.30709276701448796
131 144 0.5792395642850221
188 164 7.71545128109747
257 243 8.528635521588644
15 211 0.4093582147423235
265 50 3.533138504196126
24 275 5.704364507973828
46 294 8.21613041045059
87 223 0.1128606675803787
103 147 7.645592092202102
27 2 3.543256341361609
48 251 6.982558650434328
94 253 5.966292916515009
263 133 5.822273182454048
81 145 8.170885341060698
118 255 1.7413311778622864
41 251 7.900349341422622
287 53 6.3165287877155665
182 48 4.072578621597554
202 44 4.279086953369102
12 190 2.140556150682987
134 219 9.022035271636216
256 87 3.855120950384869
119 235 1.3561171782187476
17 178 5.857652700945258
267 79 8.693182440450416
230 283 7.445673806227786
86 237 4.4441005008049865
131 296 2.3871421534416433
171 236 6.462739227434565
121 259 1.9965805526679714
154 79 7.261027333470125
126 167 6.068661488365901
178 82 2.4385092269475996
96 132 9.753967260228007
52 100 3.903905657637901
75 154 7.359596708001967
222 140 2.042290223999789
54 143 2.1437952493425927
198 237 0.4359228955575166
204 223 6.965049576776299
256 151 4.686464549742349
72 131 6.07671691558197
207 2 7.435363301624462
220 293 5.915525709957558
215 117 6.712167822941943
298 117 6.828005570895217
63 232 4.382035598150203
133 50 8.957967856927558
124 204 7.16018971990862
80 128 8.50947042400718
247 233 0.2946073789412589
209 265 6.784925567693425
93 167 7.803976278791262
199 250 9.091100442027551
54 19 2.58710875197696
111 82 7.190539174822999
102 265 3.5472541451510877
294 233 5.456249652276344
243 262 0.25945389292155674
189 267 3.4942330245856312
233 107 9.903751937114944
94 200 5.186541748424963
62 182 6.411931214187452
129 140 3.8801832605665427
31 6 0.8443310971853628
215 180 5.843735002167962
55 114 3.1046042899829085
205 269 9.717860877269809
200 236 2.1989264870351564
66 35 8.11476687941027
98 240 6.457772892447812
115 74 3.596003992809162
211 239 9.96177344034604
280 64 7.820482224628853
240 181 7.857575325829009
117 136 7.071583195208535
129 218 6.820304285290153
246 1 8.073822061313056
143 183 2.525175548185311
154 164 4.847545591747017
219 43 6.6267178534003675
185 78 9.294389439384414
197 29 0.9442713349775131
289 166 7.861980471997452
71 271 8.330147197224102
298 7 6.607301893931944
107 36 6.59397172481287
128 51 5.8270224303979585
119 95 7.785425188201679
177 78 2.1645550657098287
206 273 1.7623363579376221
46 280 7.90193089322964
152 101 4.995169704099355
109 271 0.8782887991139899
224 59 5.595131545308108
135 214 2.4183399035620194
71 242 4.981459562601971
29 247 4.724232183129244
73 251 2.541009461372636
84 276 6.0360560912079295
3 82 8.423598374983456
239 288 5.026304335046375
151 238 3.812082988139689
214 38 1.8871378489338237
184 14 0.3035417224152818
23 169 8.105135878316723
48 261 4.8932967282704105
73 17 2.212282017693093
212 64 3.4522048647344596
187 174 4.797881911750044
269 283 7.728686463326874
107 145 4.408376374731644
216 128 5.584873338207086
148 149 3.616267336119468
252 206 3.4038462421828264
139 259 3.5136210050616863
104 252 7.9403162432274925
169 98 3.239230560962051
153 65 5.905866535233125
44 20 4.048895579237473
283 207 5.499471043668956
25 204 3.074023332254254
3 23 1.9804138603613972
243 30 7.911367169457253
278 192 6.205321538864159
42 108 0.49079444932432104
234 89 1.1034801354246928
92 18 4.273557027935205
51 6 3.7518062541784976
71 158 5.664804516213494
132 154 1.929285609540854
17 163 0.3018813547766439
289 296 9.345199354342691
27 254 5.718323088208771
20 60 7.760393840985633
215 294 6.987550196755184
207 228 0.7654665182522787
198 79 4.806939288391752
211 280 1.110227652050218
241 108 8.968145566452039
7 218 0.14735447460667656
62 45 2.2606275521854795
62 66 4.776084521979041
141 291 2.49847679780937
95 25 3.7221494843276473
74 43 3.002118738169738
285 255 4.659739234510499
130 26 7.200380057219344
5 31 0.24582270342846146
40 199 3.179519730759401
84 249 6.128587193726094
161 188 9.492723628074943
224 240 6.80110664776009
74 59 3.696329400267723
83 213 4.821926190099128
231 139 7.8677796756641625
290 170 2.9946440932980196
31 170 8.708626300824045
7 77 6.051259359292589
158 299 4.342762474464151
126 192 3.9348318083564737
192 119 8.094066268709062
145 0 3.2831062235246677
137 216 1.6570763759893612
21 147 8.34898670980804
292 75 2.8111019563389283
280 255 3.5338471285411566
43 276 5.581376151734205
195 102 7.898132665655187
119 158 6.108292218818147
202 238 7.11255934346618
130 4 7.937483260119283
235 276 0.9682397209696789
181 32 2.4053776744160555
296 266 8.979598110686698
267 164 4.818203641556724
103 96 2.205667115031994
47 92 8.078062933985406
148 185 5.820873618035501
183 206 7.818421694788722
76 126 0.5414851407253708
252 191 8.677080931146225
190 237 7.894740728357586
79 161 6.0124026544433224
176 143 5.242622476150488
10 48 0.43243284617344535
289 248 5.908438542597898
109 133 9.262403790011918
143 218 1.0613668260749114
228 67 2.6145558122775885
19 173 2.089792210956528
92 193 0.9281980713638721
26 17 5.618064444209408
234 249 9.477330148752744
32 203 9.22933148732162
46 131 3.2552347882711454
119 45 9.56855825868823
259 201 1.90843580840975
81 189 9.661108031330802
113 88 0.48245353045288764
131 180 0.686840134391708
283 14 8.388457249843993
24 132 7.885095067188213
247 28 1.1004620286337725
162 2 9.399867522490185
152 225 7.603188211172094
53 241 3.3067922829070038
131 199 1.329021303447583
246 194 1.7689139602311683
122 73 9.151554950391223
6 239 7.200544461120737
99 18 1.6538661121131573
112 39 9.346369989400136
191 71 7.805319789258593
49 197 8.43826818552008
38 231 9.725881556151903
165 119 4.827629056159725
187 73 3.3865928448315246
29 92 7.165871786092512
283 74 4.4458131650102075
76 136 4.240803909872759
126 79 0.35165848869055893
292 151 3.411637685902639
85 133 4.960968646268953
162 233 9.041365451187785
58 78 9.78835552098774
29 108 5.643430625847041
146 61 2.6521521014945466
103 186 4.377388942324424
133 122 9.258289744389538
49 199 2.9653433838098966
83 29 8.339999595970523
150 73 9.788448690132153
8 226 8.089528437906093
174 261 1.487419932974737
0 269 2.935305187401356
184 222 0.5014242762969107
209 111 2.8407877509017623
92 70 8.449377303445978
267 117 7.145021077533902
100 40 8.306811785440653
253 140 1.8356477256098083
70 98 5.871037693691545
103 5 0.7503834542125862
266 208 8.426570962700204
28 265 8.1254068340484
171 144 8.434887997268822
252 46 0.25290687199097867
244 68 8.732935339870112
136 127 1.94191648419919
187 18 1.7185319956566896
190 294 5.989460983834595
2 182 5.246247619598933
228 264 0.806283658710437
164 195 5.805486623481127
31 149 8.740753126637017
253 228 5.181809278233752
271 275 1.4302791469157432
124 45 2.314619958615921
93 85 1.1164865634436731
128 284 8.18982140241567
15 9 1.0550667715853868
99 133 0.2751047580658293
295 237 5.276821545957303
227 52 3.5719276883327113
48 91 0.5471891589673563
63 238 4.986559899154533
256 143 1.1893960245562352
62 207 8.855935773669561
277 116 8.624793421086881
75 293 4.674341729217226
203 84 9.487124541979558
9 199 6.969305439016165
269 18 4.016771390347694
26 185 3.4516307336613337
123 171 7.183732728751455
288 164 8.168927670760908
287 27 3.316309642955716
75 180 2.567916008218501
216 5 3.7078765092741857
271 95 0.785715710454191
221 102 5.097269108328891
10 115 1.4801263210565354
203 232 6.3687940103034855
20 17 8.669506036874548
136 139 6.319668503614656
18 51 2.5807532735528493
266 6 4.39354359688504
20 147 1.219133937534513
177 85 1.291774462888828
263 137 0.9362931982988936
273 75 4.4557736875624085
261 67 8.863385547001918
208 295 2.9542407580741408
124 44 7.429995459381599
147 232 6.138530779472458
291 113 6.538537726758787
103 280 7.132562384988786
235 280 3.10664243747828
244 240 8.206314774408899
15 124 3.4032976626876588
96 262 5.5045644305154635
299 202 0.2175936568491174
180 83 8.63246562499981
122 165 5.610866645889207
251 138 2.9197178221932703
110 151 0.6633846494858944
11 81 5.5561724421479415
178 225 6.611410887643448
264 198 8.359867253564163
181 55 5.257199194499506
79 213 3.436456176009802
180 71 6.785905297880442
141 265 1.041012237323742
243 137 7.870928365317066
65 211 8.721177171343784
2 210 7.68020600486151
299 60 5.029043568187838
292 76 4.237310338128145
143 56 3.857667014238869
231 234 2.951823946522935
180 149 3.594241385666847
269 284 5.994662925649872
164 3 7.892071523392191
255 194 4.495905964599737
94 274 3.1099239196571045
74 223 5.796784745397349
297 118 0.9705043445096607
169 165 9.692604431879221
124 166 2.1226643504499925
218 5 0.353194761050318
131 289 8.969328493055997
153 274 7.7574677891503585
275 223 5.222734455572028
264 220 3.9562240317170296
183 20 5.987733124901663
179 231 9.484209309538883
34 268 2.369790304301427
209 191 5.058997218078727
287 293 1.6267820470807515
96 215 4.918459316166073
225 175 6.94662350079696
47 87 3.6908971693290002
187 38 8.277690173501052
262 89 1.1940661519293934
150 175 8.223491043302241
260 215 6.347902466717038
268 148 8.180010821408784
106 258 8.942097772376767
211 93 0.6956821101752816
289 54 3.5965239252275456
21 210 0.2062639221369708
1 157 7.135314422383225
283 2 9.1786178150335
203 50 5.90338434169342
15 100 1.834422581112586
283 290 2.733583606960392
272 263 9.971386446228648
294 101 4.169894618967506
62 74 1.6520312095611982
260 54 0.38743811839093123
38 87 9.483579135482772
251 239 6.168742055916419
296 165 1.5248787588106951
121 181 2.8269328711718678
16 136 6.324112629775789
298 32 3.5540464103025395
230 197 0.293528586188859
112 202 5.868354975165078
22 225 0.6403855207544762
122 127 2.3067049453809085
81 88 3.2164556239621116
233 155 4.241926636288091
129 253 9.797460506127344
34 124 6.805088933251604
299 113 4.193600047831707
204 248 0.322022343786722
88 87 3.648120882005928
95 3 9.718319718053845
148 202 5.659186872043233
58 171 5.384129835126551
197 171 4.091641107556892
33 63 4.280542543349192
179 283 2.524866765997555
97 239 2.907509936469365
121 223 0.4456667100147541
12 174 8.06822313624132
123 66 1.0170499119410874
138 278 8.36657847461008
65 284 4.488755978821389
122 81 3.742379813595823
110 207 3.831246709305815
297 106 3.0428109438292417
243 258 2.1240103553980783
231 67 9.426663069382938
133 225 5.916881155228103
188 273 2.5378813348791835
261 108 1.3426150034119564
62 262 1.0055479077374112
138 197 0.3842963942100288
290 74 3.1768106978275137
199 44 6.977167357897514
118 164 1.9643128362388398
55 34 5.663707561396935
185 256 7.608689851611036
98 33 7.215316260468946
45 115 2.9568251762443216
204 144 3.6233934781956947
237 67 9.373727087956356
90 15 3.7291601414105586
179 211 0.35010968912191043
236 127 9.999401198942003
205 180 9.069851420263868
50 93 2.985617167061522
138 112 7.1546120770755675
20 207 0.4959855051669747
82 220 2.0610681354545117
155 79 3.8693457663759787
20 282 3.178077805277782
91 289 8.410707202209412
