trial,graph_size,num_edges,algorithm,runtime_ms,reachable,num_inf,num_diff_vs_dijkstra,avg_error_vs_dijkstra,k_param,t_param,sssp_time_ms,dijkstra_fill_time_ms,sssp_reachable,dijkstra_filled
1,50,250,dijkstra,0.2002716064453125,50,0,0,0.0,,,,,,
1,50,250,sssp,5.076169967651367,50,0,0,0.0,1,3,,,,
1,50,250,hybrid,5.076169967651367,50,0,0,0.0,1,3,5.076169967651367,0.0,50,0
1,100,500,dijkstra,0.32019615173339844,100,0,0,0.0,,,,,,
1,100,500,sssp,19.28257942199707,91,9,30,1.7686535089861437,1,3,,,,
1,100,500,hybrid,19.28257942199707,100,0,21,2.5266478699802053,1,3,19.28257942199707,0.0,91,9
1,500,2500,dijkstra,2.537250518798828,500,0,0,0.0,,,,,,
1,500,2500,sssp,54.85868453979492,323,177,300,1.5327490519754512,2,4,,,,
1,500,2500,hybrid,54.85868453979492,500,0,123,3.7384123218913445,2,4,54.85868453979492,0.0,323,177
1,1000,5000,dijkstra,5.684375762939453,1000,0,0,0.0,,,,,,
1,1000,5000,sssp,345.84546089172363,594,406,682,1.797014350137088,2,4,,,,
1,1000,5000,hybrid,345.84546089172363,1000,0,276,4.440448502874978,2,4,345.84546089172363,0.0,594,406
1,5000,25000,dijkstra,38.826704025268555,5000,0,0,0.0,,,,,,
1,5000,25000,sssp,30000,0,5000,5000,0.0,,,,,,
1,5000,25000,hybrid,38.826704025268555,5000,0,0,0.0,,,0.0,38.826704025268555,0,5000
1,10000,50000,dijkstra,83.88662338256836,10000,0,0,0.0,,,,,,
1,10000,50000,sssp,30000,0,10000,10000,0.0,,,,,,
1,10000,50000,hybrid,83.88662338256836,10000,0,0,0.0,,,0.0,83.88662338256836,0,10000
